word,early_avg_pm,y2010_2025_pm,delta_pm,pre_1950,1950_1970,1970_1990,1990_2010,2010_2025
বলি,1971.19,363.36,-1607.82,4420.973,976.65,515.94,752.893,363.363
বলিয়া,1518.5,5.67,-1512.83,3873.974,474.896,206.639,82.136,5.674
হইল,1471.28,42.92,-1428.35,3625.088,668.809,119.929,96.371,42.923
বলিল,1429.8,1.97,-1427.83,3558.618,714.262,16.516,39.289,1.973
দিয়া,1511.41,103.61,-1407.8,3645.079,776.538,112.61,158.436,103.606
লোক,4179.73,2897.03,-1282.7,3677.064,3938.475,4923.666,4225.109,2897.034
বললে,1691.32,416.4,-1274.92,1598.767,2259.96,1215.245,876.168,416.399
তাঁহ,1192.55,4.19,-1188.36,3028.112,439.183,110.357,85.695,4.194
আসিয়া,1177.0,6.91,-1170.1,2928.907,567.573,34.534,60.784,6.907
দেখি,1742.04,575.26,-1166.77,3010.12,1252.615,963.375,974.817,575.263
করিল,1131.32,8.88,-1122.44,2699.762,672.056,22.147,32.029,8.881
কহিল,1112.14,2.96,-1109.18,3280.496,46.338,9.572,103.204,2.96
লইয়া,1100.32,44.4,-1055.92,2648.286,577.608,75.073,112.742,44.403
একটু,3934.38,2880.26,-1054.12,2412.144,4089.887,5301.095,4625.826,2880.26
গিয়া,998.74,44.9,-953.85,2253.717,631.03,111.483,95.66,44.896
বোধ,1195.41,244.22,-951.2,1626.004,1176.466,783.763,722.287,244.215
বুঝি,1135.83,225.96,-909.87,1459.831,1262.059,685.605,586.627,225.961
ঘরে,2150.82,1247.72,-903.1,1887.385,2393.958,2171.112,1995.471,1247.718
লাগিল,887.26,1.73,-885.53,2284.702,362.444,14.639,29.324,1.727
করিব,759.18,3.95,-755.23,1922.369,217.23,137.947,64.77,3.947
কহি,738.68,8.39,-730.3,2156.261,41.026,18.768,64.627,8.387
কোথায়,1923.5,1199.37,-724.13,1736.204,2032.105,2002.198,1808.85,1199.368
দেখিয়া,732.39,9.62,-722.77,1806.672,358.607,31.906,41.139,9.621
যাহা,729.08,13.32,-715.76,1840.906,229.036,117.302,72.029,13.321
করিত,702.78,2.47,-700.31,1711.215,312.859,84.269,73.88,2.467
জিজ্ঞাসা,1025.92,329.81,-696.11,1679.23,663.201,735.34,250.822,329.814
বসিয়া,673.74,1.73,-672.01,1630.752,378.087,12.387,34.734,1.727
বাহির,680.1,8.88,-671.22,1619.757,391.073,29.466,27.331,8.881
রাজা,887.44,220.29,-667.15,1500.062,574.066,588.197,867.769,220.287
হঠাৎ,2027.96,1376.24,-651.72,1322.394,2373.593,2387.886,2197.609,1376.239
রাত্রে,719.77,74.99,-644.78,825.621,894.893,438.802,204.558,74.991
ভাব,2195.78,1560.76,-635.02,2027.071,2281.801,2278.467,2120.74,1560.757
কেহ,622.72,4.93,-617.78,1561.534,244.679,61.935,42.99,4.934
কিরীটী,606.79,0.0,-606.79,163.425,1247.597,409.336,0.712,0.0
মিঃ,611.58,13.57,-598.01,77.215,1139.868,617.663,97.937,13.568
বাড়ি,2981.54,2386.16,-595.38,2225.23,3241.627,3477.759,3643.892,2386.156
কাল,1141.21,553.31,-587.9,1120.486,1179.122,1124.031,1045.423,553.308
একেবারে,1200.98,616.95,-584.02,1195.952,1261.174,1145.802,946.489,616.952
উঠিল,570.62,1.73,-568.89,1364.874,336.47,10.51,21.068,1.727
সাহেব,1066.24,497.56,-568.68,587.481,1270.619,1340.617,1128.129,497.558
সকলে,732.85,169.72,-563.14,1195.952,654.642,347.964,253.099,169.717
বটে,780.09,218.81,-561.28,983.799,684.747,671.716,598.3,218.807
তাঁহা,538.11,2.47,-535.65,1345.633,181.812,86.897,43.417,2.467
উঠিয়া,538.33,2.96,-535.37,1255.924,344.44,14.639,26.335,2.96
মা,1827.77,1302.97,-524.79,2033.318,1691.207,1758.774,1990.489,1302.975
সম্বন্ধে,586.05,74.5,-511.55,942.318,527.727,288.093,163.561,74.498
একদিন,1075.92,565.89,-510.03,1097.997,1138.982,990.777,873.748,565.889
চাহিয়া,506.66,0.25,-506.41,1234.434,280.097,5.443,14.804,0.247
নি,899.18,394.44,-504.74,827.87,1099.432,770.249,1230.621,394.445
কেবল,987.38,486.95,-500.43,1628.253,948.02,385.875,204.985,486.95
হইত,520.82,20.48,-500.35,1271.667,188.896,101.912,69.609,20.475
মুখে,1696.09,1197.64,-498.45,1489.067,1858.262,1740.944,1766.144,1197.641
পড়িয়া,499.28,1.97,-497.3,1225.688,247.926,24.211,27.616,1.973
হইলে,515.29,29.11,-486.18,1278.414,176.795,90.651,62.919,29.108
তোমাকে,1192.14,719.82,-472.32,1297.905,927.95,1350.564,1570.128,719.818
তেমনি,585.32,122.35,-462.97,726.417,697.734,331.823,184.913,122.354
রহিল,459.19,1.48,-457.71,1123.985,246.45,7.132,7.26,1.48
হই,605.41,149.49,-455.92,1379.867,274.194,162.158,196.159,149.489
চলিয়া,444.47,3.95,-440.52,1057.015,262.683,13.701,28.612,3.947
হে,575.39,136.91,-438.48,1091.0,328.501,306.673,270.751,136.909
আরম্ভ,486.06,50.08,-435.98,766.648,536.877,154.65,117.724,50.076
হাস,1550.11,1114.76,-435.36,464.037,1822.253,2364.05,1982.66,1114.756
নিকট,452.75,29.85,-422.9,1144.475,131.932,81.83,49.68,29.849
ফিরিয়া,422.57,1.23,-421.34,945.816,315.515,6.381,15.374,1.233
ধরিয়া,419.74,0.99,-418.75,1039.523,203.358,16.328,24.484,0.987
পায়,1246.42,833.78,-412.63,1145.975,1349.129,1244.148,1224.643,833.785
প্রবেশ,589.21,180.57,-408.64,984.549,570.819,212.269,133.098,180.571
দুঃখ,596.61,190.44,-406.17,770.647,568.753,450.438,374.525,190.439
বড়ো,591.07,186.25,-404.83,877.848,456.006,439.365,435.024,186.245
বনহুর,404.44,0.0,-404.44,0.0,515.331,697.992,0.0,0.0
দাঁড়াইয়া,393.47,4.19,-389.28,899.338,275.079,6.006,12.242,4.194
বাবু,583.34,195.62,-387.72,781.892,507.362,460.761,276.73,195.619
নহে,394.68,11.35,-383.33,1042.772,55.488,85.771,48.684,11.347
লাভ,742.0,368.54,-373.46,1100.246,577.903,547.846,533.103,368.543
ভদ্রলোক,702.47,329.07,-373.4,342.343,717.804,1047.269,617.09,329.074
রে,697.74,327.35,-370.39,578.735,808.415,706.062,771.54,327.347
দেব,1214.43,845.87,-368.56,1016.534,1297.773,1328.981,1368.417,845.873
তুলিয়া,367.46,1.23,-366.22,850.61,245.564,6.194,17.651,1.233
আশ্চর্য,611.45,245.94,-365.51,569.989,698.324,566.051,408.262,245.942
শুনিয়া,363.17,3.21,-359.96,963.808,112.747,12.95,16.37,3.207
যাবা,601.3,246.68,-354.62,316.355,767.979,719.575,560.15,246.682
পড়িল,352.93,1.48,-351.45,830.619,222.543,5.63,11.246,1.48
হাসিয়া,354.17,3.45,-350.72,870.101,189.781,2.628,14.093,3.454
পূর্বে,368.05,21.71,-346.34,659.698,354.179,90.275,45.125,21.708
হাসি,962.11,620.65,-341.46,879.347,1146.656,860.337,843.143,620.652
বিবাহ,420.65,79.68,-340.97,871.35,211.917,178.674,158.294,79.678
লাগি,346.63,8.88,-337.75,922.827,100.351,16.704,18.648,8.881
আসি,507.07,170.7,-336.36,867.602,365.69,287.905,300.075,170.704
সম্মুখে,342.52,6.66,-335.86,714.173,257.075,56.305,17.794,6.66
ভগবান,438.89,103.11,-335.78,871.35,222.543,222.779,156.87,103.113
দাদা,610.69,276.78,-333.91,772.896,540.419,518.755,428.333,276.777
আসিল,334.68,2.22,-332.46,776.894,220.772,6.381,9.68,2.22
করিবে,328.44,2.96,-325.48,855.608,97.99,31.718,40.855,2.96
দিলে,777.54,452.91,-324.63,813.877,841.766,676.971,628.051,452.908
করিলে,327.48,3.21,-324.27,805.381,121.306,55.742,31.175,3.207
প্রাণ,568.44,246.19,-322.25,867.602,536.287,301.418,287.406,246.189
যাইতে,344.07,23.19,-320.88,842.114,141.672,48.422,39.716,23.188
ইহ,331.43,10.85,-320.57,859.106,57.849,77.325,24.769,10.854
মহেন্দ্র,352.81,34.78,-318.02,816.376,230.217,11.824,23.203,34.782
কর্নেল,380.61,63.15,-317.46,13.994,25.383,1102.448,433.031,63.151
দাও,660.77,344.37,-316.4,713.173,620.699,648.443,692.109,344.368
রাত্রি,337.41,21.21,-316.19,589.48,316.695,106.041,65.481,21.215
স্থির,506.49,191.18,-315.31,746.158,423.835,349.465,268.9,191.179
বললুম,342.43,27.63,-314.8,219.399,476.076,331.823,102.065,27.628
অতি,546.02,234.1,-311.92,908.833,369.822,359.412,347.478,234.101
বাপ,441.79,131.48,-310.3,429.303,546.027,350.028,322.709,131.482
রাখিয়া,307.17,2.71,-304.46,728.666,177.09,15.765,19.217,2.714
সন্দেহ,626.36,328.09,-298.28,667.194,653.166,558.731,468.903,328.087
উঠল,1394.21,1096.01,-298.2,541.502,1951.234,1689.894,1535.109,1096.008
নিশ্চয়,930.53,635.45,-295.08,667.444,942.117,1182.025,1120.584,635.453
পাই,544.51,249.64,-294.87,856.857,448.037,328.632,404.133,249.642
শুনি,396.23,101.63,-294.59,751.156,260.912,176.609,176.088,101.633
উঠি,332.42,38.98,-293.45,713.423,204.834,79.014,80.855,38.976
ন্যায়,314.13,22.94,-291.19,718.171,147.28,76.95,52.67,22.941
জানি,1534.46,1243.52,-290.94,1545.042,1440.33,1618.012,1778.956,1243.524
তোমা,677.33,386.8,-290.53,749.157,563.44,719.387,820.224,386.797
সেদিন,770.04,483.5,-286.55,730.415,892.237,687.481,524.42,483.497
যাও,564.9,279.98,-284.92,617.967,512.38,564.362,618.086,279.984
হইয়াছিল,286.41,2.47,-283.94,650.452,109.5,99.284,15.801,2.467
অত্যন্ত,612.28,330.55,-281.73,1005.039,439.183,392.632,351.179,330.554
বেশী,313.86,32.31,-281.55,402.316,330.567,208.703,111.033,32.315
সুখ,389.24,113.23,-276.02,525.759,311.088,330.884,277.299,113.227
বাঘ,397.87,122.11,-275.76,164.674,377.496,651.446,548.477,122.108
ফেলুদা,277.95,2.22,-275.73,0.0,91.201,742.66,62.777,2.22
সহসা,290.68,16.03,-274.64,498.521,309.317,64.187,41.424,16.034
গায়ে,776.75,506.44,-270.32,538.003,967.205,825.053,826.773,506.438
হ্যাঁ,1398.57,1131.04,-267.53,429.303,1654.608,2111.805,1854.544,1131.037
নূতন,285.85,19.49,-266.36,633.21,186.239,38.1,80.57,19.488
ব্যোমকেশ,263.43,1.97,-261.45,250.385,527.137,12.762,9.822,1.973
কাহা,266.76,8.14,-258.62,665.945,96.809,37.537,29.467,8.141
বাহিরে,263.88,6.41,-257.47,598.476,177.975,15.202,9.68,6.414
অত,433.36,177.36,-256.0,298.113,460.138,541.84,466.768,177.364
পাইয়া,258.83,4.19,-254.64,655.2,102.712,18.581,20.926,4.194
চক্ষু,271.34,16.77,-254.56,503.269,236.415,74.322,68.471,16.774
থাকিয়া,255.8,1.48,-254.32,635.958,121.306,10.135,10.249,1.48
রায়,562.43,308.6,-253.83,456.791,619.224,611.282,197.725,308.599
বললো,394.82,142.34,-252.48,7.746,419.407,757.299,267.477,142.336
ফেলিয়া,253.56,1.97,-251.58,643.205,111.271,6.194,14.377,1.973
ধারে,374.1,123.09,-251.01,379.576,373.364,369.359,279.292,123.094
জলে,418.46,167.5,-250.97,433.301,413.505,408.585,334.097,167.497
রাগ,672.99,423.31,-249.68,663.696,660.84,694.426,796.737,423.306
ছাল,1218.43,969.71,-248.72,1017.783,1219.558,1417.942,1385.783,969.707
পড়ি,333.65,85.35,-248.29,645.454,201.587,153.9,155.732,85.352
চুপ,821.32,575.26,-246.06,803.881,840.291,819.798,778.373,575.263
দেখিল,246.98,0.99,-245.99,602.724,135.769,2.44,5.267,0.987
বিশ্বাস,987.95,742.76,-245.19,995.044,986.095,982.706,1042.576,742.76
বুক,1201.46,957.87,-243.6,857.857,1459.219,1287.315,1181.937,957.866
ডাক্ত,593.82,350.29,-243.53,569.239,686.518,525.699,656.094,350.289
যাইত,251.05,11.1,-239.95,581.733,153.773,17.642,22.064,11.101
থাকি,435.4,196.11,-239.29,778.393,275.375,252.433,348.759,196.112
কিছুতে,428.56,189.94,-238.61,521.511,362.148,402.016,362.709,189.945
নে,315.9,77.95,-237.95,533.256,285.705,128.75,135.518,77.952
ক্রমে,312.69,77.7,-234.99,540.502,271.833,125.747,89.823,77.705
ভূতনাথ,234.11,0.0,-234.11,3.249,676.188,22.897,34.022,0.0
কোথা,1050.99,817.5,-233.48,1128.483,1082.313,942.167,901.364,817.504
একখানা,345.57,112.73,-232.83,584.232,275.67,176.797,158.721,112.734
আস্,536.66,305.15,-231.52,435.8,647.558,526.637,591.467,305.146
ওঠে,770.24,539.0,-231.24,353.088,1174.99,782.637,772.964,539.0
করিয়াছি,230.94,0.25,-230.7,557.245,66.704,68.88,22.634,0.247
আচ্ছা,621.54,391.98,-229.56,680.438,652.28,531.893,648.265,391.978
মহাশয়,242.36,13.32,-229.04,579.734,63.457,83.894,44.84,13.321
দোষ,374.89,146.28,-228.61,520.012,313.744,290.908,314.595,146.282
লাগল,1158.36,930.98,-227.39,517.263,1336.437,1621.39,1629.63,930.978
কিনা,548.03,323.15,-224.87,406.813,662.02,575.247,515.309,323.154
হাঁ,471.88,247.18,-224.71,546.0,433.28,436.362,355.165,247.175
তাড়াতাড়ি,492.64,268.14,-224.5,487.277,509.428,481.218,454.953,268.143
আজ্ঞে,294.4,70.3,-224.1,182.916,340.307,359.975,255.662,70.304
ডাক,813.13,589.32,-223.81,478.281,959.826,1001.287,889.691,589.323
চিঠি,723.55,504.46,-219.09,498.521,812.547,859.586,838.161,504.465
দুজনে,506.19,287.14,-219.05,301.362,579.083,638.121,570.684,287.138
ফুল,514.1,297.0,-217.1,484.278,582.625,475.4,489.117,297.005
জ্ঞান,440.74,224.23,-216.51,726.917,328.797,266.509,305.2,224.234
জবাব,630.4,414.18,-216.23,499.521,791.296,600.397,464.205,414.179
অধিক,443.6,228.18,-215.41,788.389,319.057,223.342,255.519,228.181
সূর্য,405.0,190.19,-214.8,218.15,722.821,274.017,213.241,190.192
কথায়,557.1,344.86,-212.23,603.723,573.771,493.793,395.592,344.862
সুব্রত,226.01,16.77,-209.24,135.938,424.425,117.677,38.862,16.774
পানে,223.69,15.05,-208.64,386.073,262.093,22.897,19.075,15.048
চলি,239.31,31.57,-207.74,453.792,170.301,93.841,79.005,31.575
গাছ,934.83,727.22,-207.61,628.712,950.972,1224.817,1004.996,727.219
ছাড়িয়া,208.82,1.48,-207.34,515.514,100.056,10.886,12.669,1.48
এরূপ,210.1,2.96,-207.14,507.767,76.739,45.795,22.349,2.96
যাই,787.33,581.68,-205.66,791.637,713.967,856.396,858.09,581.676
মুসলমান,276.53,72.28,-204.26,312.857,360.968,155.777,154.735,72.278
দেখলে,535.82,331.79,-204.03,395.319,566.687,645.441,557.018,331.787
পয়সা,368.09,164.54,-203.56,330.099,455.121,319.06,309.186,164.537
আশা,560.15,356.95,-203.2,861.105,459.548,359.788,345.2,356.949
নিতান্ত,242.69,41.2,-201.5,450.044,178.565,99.472,82.563,41.196
তোর,1014.53,813.06,-201.46,701.428,1125.405,1216.746,1443.863,813.064
অমনি,239.09,38.48,-200.6,267.627,246.745,202.885,97.795,38.482
স্থান,360.28,159.85,-200.43,684.186,211.032,185.618,143.205,159.85
উহা,203.83,4.69,-199.14,512.515,60.506,38.475,26.62,4.687
কিরীটীর,198.32,0.0,-198.32,43.48,398.157,153.337,0.0,0.0
উপায়,572.2,374.22,-197.99,672.442,546.617,497.547,485.843,374.217
পড়ে,2564.92,2367.16,-197.75,1569.53,2998.424,3126.792,2952.352,2367.161
সাহেবের,364.51,167.0,-197.51,213.652,459.843,420.034,363.421,167.004
দিব,304.93,107.8,-197.13,724.668,129.866,60.246,102.777,107.8
করিয়াছ,199.74,2.71,-197.02,496.272,52.832,50.111,17.794,2.714
ঠাকুর,298.49,101.88,-196.61,340.344,397.271,157.841,195.163,101.88
পারিল,198.02,1.73,-196.3,531.256,59.62,3.191,2.278,1.727
